step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
48,146966.3,0.0,0.0,175027.37,321993.66,True,False,False,False
250,387420.97,61353.0,0.0,705066.16,1092487.13,True,False,False,False
160,141508.56,141508.56,0.0,340906.08,482414.64,True,False,False,False
173,176273.29,176273.29,0.0,0.0,176273.29,True,False,False,False
36,555624.58,147.0,0.0,164.23,693416.92,False,False,False,True
323,29114.71,0.0,0.0,234454.5,263569.21,False,False,False,True
239,487572.45,487572.45,0.0,0.0,0.0,False,False,False,True
739,8116.53,8116.53,0.0,7638.26,15754.79,True,False,False,False
34,4740.25,0.0,0.0,486820.52,301703.03,True,False,False,False
440,4339822.23,4339822.23,0.0,0.0,4339822.23,True,False,False,False
132,577730.84,106719.0,0.0,160741.95,940859.57,True,False,False,False
404,19173.1,109972.62,90799.53,0.0,0.0,False,False,True,False
184,160473.8,0.0,0.0,702767.64,863241.44,True,False,False,False
542,1068398.61,1068398.61,0.0,0.0,0.0,False,False,False,True
325,441873.49,441873.49,0.0,0.0,441873.49,True,False,False,False
329,3551022.86,3551022.86,0.0,0.0,0.0,False,False,False,True
251,166960.07,0.0,0.0,1282495.0,1449455.08,True,False,False,False
333,613386.47,613386.47,0.0,11220969.14,11834355.61,True,False,False,False
20,89068.41,14740.0,103808.41,2990615.54,2901547.13,False,False,False,False
255,65365.22,11159.0,76524.22,0.0,0.0,False,False,False,False
370,40726.95,158497.0,117770.05,464050.97,504777.92,True,False,False,False
352,247207.6,0.0,0.0,2989649.25,2952628.25,True,False,False,False
280,94178.07,0.0,0.0,645062.67,739240.74,True,False,False,False
655,253648.68,253648.68,0.0,0.0,253648.68,True,False,False,False
38,1828671.57,0.0,0.0,3705191.13,5533862.7,False,False,False,True
506,10000000.0,10000000.0,0.0,1920358.24,11920358.24,True,False,False,False
685,10000000.0,10000000.0,0.0,56142.18,10056142.18,True,False,False,False
332,12155.9,0.0,0.0,0.0,0.0,False,False,True,False
183,224378.1,224378.1,0.0,0.0,0.0,False,False,False,True
175,319208.14,319208.14,0.0,0.0,0.0,False,False,False,True
163,1976.49,10806.0,8829.51,0.0,0.0,False,False,True,False
40,125087.45,4235512.46,4360599.91,675633.55,911433.88,False,False,False,False
296,40593.23,40593.23,0.0,0.0,0.0,False,False,False,True
594,389250.9,389250.9,0.0,252962.03,642212.93,True,False,False,False
31,120406.39,120406.39,0.0,0.0,120406.39,True,False,False,False
216,12027.35,30123.0,18095.65,0.0,0.0,False,False,True,False
352,20498.87,40547.19,20048.31,0.0,0.0,False,False,True,False
674,64083.54,64083.54,0.0,0.0,64083.54,True,False,False,False
215,319887.08,319887.08,0.0,1373212.48,1693099.57,True,False,False,False
174,18887.22,18887.22,0.0,0.0,0.0,False,False,False,True
741,5674547.89,5674547.89,5674547.89,0.0,0.0,False,False,False,True
11,105424.07,619.0,0.0,516186.38,811099.32,True,False,False,False
81,1980800.05,1980800.05,0.0,0.0,0.0,False,False,False,True
93,315654.19,315654.19,0.0,0.0,0.0,False,False,False,True
439,306419.73,306419.73,0.0,0.0,0.0,False,False,False,True
344,2231580.5,2231580.5,0.0,499195.63,2730776.13,True,False,False,False
329,98376.58,12502.0,0.0,449928.77,548305.35,True,False,False,False
41,48324.86,0.0,0.0,55256.09,172795.71,True,False,False,False
570,8703.62,812044.0,803340.38,0.0,0.0,False,False,True,False
188,190066.85,0.0,0.0,2328832.47,2518899.32,True,False,False,False
154,418737.13,2817457.18,3236194.31,2459896.18,2041159.05,False,False,False,False
373,21468.99,2185.0,23653.99,0.0,0.0,False,False,False,False
330,92905.01,31856.0,124761.01,311688.14,218783.14,False,False,False,False
231,427591.97,0.0,0.0,1091571.88,1519163.85,False,False,False,True
373,116712.56,36413.0,153125.56,17310789.47,17171555.14,False,False,False,False
398,3580542.06,3580542.06,0.0,0.0,0.0,False,False,False,True
61,55062.46,55062.46,0.0,0.0,55062.46,True,False,False,False
422,2897907.81,2897907.81,0.0,351034.56,3248942.38,True,False,False,False
723,72955.08,72955.08,0.0,0.0,0.0,False,False,False,True
320,248409.56,248409.56,0.0,0.0,0.0,False,False,False,True
47,6105.1,21870.0,15764.9,0.0,0.0,False,False,True,False
228,432790.39,140.0,432930.39,763897.65,331107.26,False,False,False,False
209,342903.4,92217.0,0.0,1675866.51,2018769.92,True,False,False,False
160,200330.14,387.0,0.0,3079166.74,3321302.8,True,False,False,False
648,468638.03,468638.03,0.0,0.0,0.0,False,False,False,True
158,44621.8,20301.0,64922.8,0.0,0.0,False,False,False,False
19,161939.36,161939.36,0.0,0.0,0.0,False,False,False,True
33,9887819.06,9887819.06,0.0,0.0,0.0,False,False,False,True
355,177459.28,0.0,0.0,3377202.7,3554661.98,True,False,False,False
11,12461.0,12461.0,0.0,27964.11,40425.11,True,False,False,False
9,201295.98,0.0,0.0,930744.42,1132040.4,True,False,False,False
203,18819.0,0.0,0.0,0.0,0.0,False,False,True,False
381,703882.14,703882.14,0.0,0.0,0.0,False,False,False,True
201,3633.3,0.0,0.0,0.0,0.0,False,False,True,False
350,36893.94,150710.0,113816.06,15757603.75,15519643.39,True,False,False,False
422,40591.72,40591.72,0.0,276257.36,316849.08,True,False,False,False
46,71372.0,71372.0,0.0,0.0,0.0,False,False,False,True
